date,avg_size_per_day
1995-08-01,15570.117631486057
1995-08-03,17125.238561002938
1995-08-04,18875.757501681623
1995-08-05,19111.637073622474
1995-08-06,19449.1935483871
1995-08-07,17133.905295442055
1995-08-08,17647.311988935948
1995-08-09,16153.464458660621
1995-08-10,17106.362895986684
1995-08-11,17770.39282680812
1995-08-12,17843.75939727364
1995-08-13,19320.973564954682
1995-08-14,18422.637469422185
1995-08-15,17280.18507566822
1995-08-16,17947.302733673398
1995-08-17,17788.827084177814
1995-08-18,16076.827393821048
1995-08-19,17954.727630735415
1995-08-20,18805.60192943941
1995-08-21,16548.765560278556
1995-08-22,16134.147854485758
1995-08-23,16390.4613098796
1995-08-24,15629.6559723688
1995-08-25,16871.34777676951
1995-08-26,17923.61153092639
1995-08-27,18234.006564276515
1995-08-28,15542.561317081123
1995-08-29,15695.282522343596
1995-08-30,16012.606359204903
1995-08-31,15674.951821273502
1995-09-01,17732.80053065479
