host,url,size
163.205.156.16,/statistics/1995/Jul/Jul95_reverse_domains.html,3421948
sets12.sprl.umich.edu,/statistics/1995/bkup/Mar95_full.html,3155499
titan.oit.umass.edu,/statistics/1995/bkup/Mar95_full.html,3155499
grumpy.ksc.nasa.gov,/statistics/1995/bkup/Mar95_full.html,3155499
igate.nrc.gov,/statistics/1995/bkup/Mar95_full.html,3155499
piweba1y.prodigy.com,/statistics/1995/bkup/Mar95_full.html,3155499
cliffy.lfwc.lockheed.com,/statistics/1995/bkup/Mar95_full.html,3155499
133.55.2.210,/statistics/1995/bkup/Mar95_full.html,3155499
lace.cs.bgu.ac.il,/statistics/1995/bkup/Mar95_full.html,3155499
163.206.89.4,/statistics/1995/bkup/Mar95_full.html,3155499
